asset_type,text
headline,Internext
headline,Business Technology Online
headline,Shop Leading Tech Brands
headline,IT Hardware for Business
headline,Networking Made Simple
headline,"Printers, Displays & More"
headline,Australian Technology Store
headline,Shop In-Stock Technology
headline,Business PCs and Laptops
headline,Phones for Modern Teams
headline,AV Solutions for Business
headline,Secure Online Checkout
headline,Australia-Wide Delivery
headline,Upgrade Your Workplace
headline,Find the Right IT Hardware
long_headline,"Business technology from leading brands, available online from Internext Australia."
long_headline,"Shop computers, networking, printing, communications and AV equipment in one place."
long_headline,"Equip your workplace with dependable technology and Australia-wide delivery options."
long_headline,"Find in-stock business hardware with clear product details and secure online checkout."
long_headline,"Save 10% on your eligible first order when you create an Internext account."
description,Compare business technology from leading brands and order securely online.
description,"Shop in-stock computers, printers, networking, phones, displays and accessories."
description,"Clear product details, current availability and delivery options across Australia."
description,Create an account and receive 10% off your eligible first order.
description,Source workplace technology through Internext's Australian online store.

