code,manufacturer,description,imageCount,primaryImage
GR-GWN7062E,Grandstream,New WIFI-6 Router,3,https://www.alloys.com.au/Images/ProductImages/Original/GWN7062E_1.JPG
GR-GWN7062ET,Grandstream,New WIFI-6 Router with 2 Fxs Ports,3,https://www.alloys.com.au/Images/ProductImages/Original/GWN7062ET_2.JPG
GR-DP755,Grandstream,Carrier Grade HD Dect Base Station Ptt Extended Range 20 Concurrent Calls,2,https://www.alloys.com.au/Images/ProductImages/Original/dp752_front_web.jpg
GR-GDS3705,Grandstream,HD IP Audio Door System with Keypad,3,https://www.alloys.com.au/Images/ProductImages/Original/GDS3705-
GR-GRP2613W,Grandstream,"6 Lines 6 SIP Accounts 2.8"" Screen POE + Gige Color WI-FI",2,https://www.alloys.com.au/Images/ProductImages/Original/GRP2613W.JPG
GR-GRP2616,Grandstream,6 Lines 6 SIP Accounts 4.3,2,https://www.alloys.com.au/Images/ProductImages/Original/GRP2616_01-largex750.jpg
GR-GSC3506V2,Grandstream,In Ceiling Flush Mount One Way SIP Interncom Speaker/ No Mic 30 Watt Speaker,2,https://www.alloys.com.au/Images/ProductImages/Original/GSC3506V2.JPG
GR-GSC3516,Grandstream,Surface Mount 2-WAY SIP POE Speaker Built in Mems Microphones,4,https://www.alloys.com.au/Images/ProductImages/Original/GSC3516_.jpg
GR-GWN7604,Grandstream,2X2 802.11AX AX3000 WI-FI 6 Ap with Integrated Gigabit Ethernet Switch,4,https://www.alloys.com.au/Images/ProductImages/Original/GWN7604.JPG
GR-GWN7615,Grandstream,3X3 802.11AC Mimo Wireless Access Point,3,https://www.alloys.com.au/Images/ProductImages/Original/GWN7615
GR-GWN7661E,Grandstream,2X2 802.11AX AX3000 WI-FI 6 IN-WALL Ap,3,https://www.alloys.com.au/Images/ProductImages/Original/GWN7661E
GR-GWN7662,Grandstream,WI-FI - 6 Hybrid 802.11AX Ap (2X2 2.4GHZ 4X4 5.0 Ghz),3,https://www.alloys.com.au/Images/ProductImages/Original/GWN7665
GR-GWN7664E,Grandstream,4X4 802.11AX WI-FI 6 Ap AX6000 2 X 2.5 Gbe Ports HE160,3,https://www.alloys.com.au/Images/ProductImages/Original/GWN7665
GR-GWN7665,Grandstream,2X2:2 802.11AX TRI-BAND WI-FI 6E Ap AX5400 1 X 2.5 + 1 X 1 Gbe Ports Ble 5.2,3,https://www.alloys.com.au/Images/ProductImages/Original/GWN7665
GR-GWN7670,Grandstream,2X2 Dual Band WI-FI 7 Indoor Ap 1 X 2.5 Gige Ble,7,https://www.alloys.com.au/Images/ProductImages/Original/GWN7670
GR-GWN7670WM,Grandstream,2X2 802.11BE BE3600 Dual Band WI-FI 7 Wallmount Ap 1 X 2.5 Gige Ble,5,https://www.alloys.com.au/Images/ProductImages/Original/GWN7670WM
GR-GWN7710R,Grandstream,Waterproof Managed Switch 5 X POE 1 X Sfp POE Output Ac/dc Powered,4,https://www.alloys.com.au/Images/ProductImages/Original/gwn7710r-view1.png
GR-GWN7711,Grandstream,Layer 2-LITE Managed Switch 8 X Gige,2,https://www.alloys.com.au/Images/ProductImages/Original/GWN7711.JPG
GR-GWN7711P,Grandstream,Layer 2-LITE Managed Switch 8 X Gige (4 X Poe/poe+ OR+24VDC Output Mode),2,https://www.alloys.com.au/Images/ProductImages/Original/GWN7711P.JPG
