"code","supplierCode","manufacturer","description","selectedUrl","width","height","bytes","format","issues","error"
"2N9137410E","9137410E","Controlbyweb","External IP Relay - 1X Output 1 X Input","https://www.alloys.com.au/Images/ProductImages/Original/2N9137410E.JPG","471","264","25053","jpeg","low_resolution;low_pixel_count",""
"2N9137411E","9137411E","Controlbyweb","External IP Relay 4 Outputs PoE 28V 1A (SPDT)","https://www.alloys.com.au/Images/ProductImages/Original/2N9137411E.jpg","425","425","87300","jpeg","low_resolution;low_pixel_count",""
"2N914423E","914423E","Media Hub","24V Dc 2A Power Supply","https://www.alloys.com.au/Images/ProductImages/Original/2N914423E.png","376","290","38530","png","low_resolution;low_pixel_count",""
"5YWEB1795F","EP5YWEB1795F","Epson","2 Additional Years Giving A Total of 5 Years Warranty EB-1795F","https://www.alloys.com.au/images/ProductImages/5YWEB1795F.jpg","500","500","34347","jpeg","low_pixel_count",""
"AD345G","AD345G","Avision","Avision AD345G Document Scanner","https://www.alloys.com.au/Images/ProductImages/Original/AD345G.jpg","1012","867","69135","jpeg","",""
"AD5800","AD5800","Avision","Avision AD5800 A3 Flatbed Document Scanner","https://www.alloys.com.au/Images/ProductImages/Original/AD5800-Medium.jpg","2362","1457","1177084","jpeg","",""
"AK-00568P11","6933964803698","Akuvox","A01/02/03 ON-WALL Installation Kit","https://www.alloys.com.au/Images/ProductImages/Original/Wall-Mount-Box-for-A01-A02.jpg","420","420","17707","jpeg","not_exact_code_match;low_resolution;low_pixel_count;very_small_file",""
"AK-2-WIREIPKITK","2-WIREIPKITK","Akuvox","2-WIRE IP Intercom Kit","https://www.alloys.com.au/Images/ProductImages/Original/2022072916093894.png","385","288","91343","png","not_exact_code_match;low_resolution;low_pixel_count",""
"AK-A02","6933964802165","Akuvox","A02-RFID+KEYPAD Access Control Terminal","https://www.alloys.com.au/Images/ProductImages/Original/2021070814034773.png","287","276","42564","png","not_exact_code_match;low_resolution;low_pixel_count",""
"AK-A05C","6933964801939","Akuvox","Smart Access Control Device with Facial Recognition and Bluetooth","https://www.alloys.com.au/Images/ProductImages/Original/Akuvox-A05S_compressed-530x530-1.jpg","530","530","14055","jpeg","not_exact_code_match;low_pixel_count;very_small_file",""
"AK-A08","6933964804169","Akuvox","Smart Access Control Device with Bluetooth V2","https://www.alloys.com.au/Images/ProductImages/Original/Akuvox-A08_compressed.jpg","620","620","27523","jpeg","not_exact_code_match",""
"AK-A08HI","6933964805562","Akuvox","Smart Access Control Device with Bluetooth HID Iclass Version","https://www.alloys.com.au/Images/ProductImages/Original/A08.png","244","572","48155","png","not_exact_code_match;low_resolution;low_pixel_count",""
"AK-A08-INWALL","6933964804442","Akuvox","A08S IN-WALL Installation Kit","https://www.alloys.com.au/Images/ProductImages/Original/A08%20In-wall%20mounting%20Bracket-%20Black%20-%20R.jpg","1025","1891","117166","jpeg","not_exact_code_match",""
"AK-A094S","6933964803032","Akuvox","Smart Access Controller for 4 Doors","https://www.alloys.com.au/Images/ProductImages/Original/2023011116260311.png","420","572","39917","png","not_exact_code_match;low_resolution;low_pixel_count",""
"AK-A095S","AK-A095S","Akuvox","Smart Access Controller for 8 Readers","https://www.alloys.com.au/Images/ProductImages/Original/adaf778e9ba292aa50019ea39d6dbbcc.png","420","572","114822","png","not_exact_code_match;low_resolution;low_pixel_count",""
