"priority","code","supplierCode","manufacturer","description","currentUrl","width","height","issues","officialSite","searchQuery","searchUrl"
"170","CIPF-RUNIP-ALLOYS","IPF-RUNIP-ALLOYS","Alloys","Alloys Prof Run Up Preperation Large Format Printers","","","","no_image;unknown_dimensions","","Alloys CIPF-RUNIP-ALLOYS IPF-RUNIP-ALLOYS product image","https://www.google.com/search?tbm=isch&q=Alloys%20CIPF-RUNIP-ALLOYS%20IPF-RUNIP-ALLOYS%20product%20image"
"170","AV5385-RET","AN360W","Avision","Avision AN360W True Network Scanner (A4 Duplex) Opened Box","","","","no_image;unknown_dimensions","","Avision AV5385-RET AN360W product image","https://www.google.com/search?tbm=isch&q=Avision%20AV5385-RET%20AN360W%20product%20image"
"170","BQ5J.F7C14.003","5J.F7C14.003","Benq","Benq Rm/re Series Stylus Pen GERM-RESIST Metallic Body (Set of 2) No Nfc and No Box","","","","no_image;unknown_dimensions","","Benq BQ5J.F7C14.003 5J.F7C14.003 product image","https://www.google.com/search?tbm=isch&q=Benq%20BQ5J.F7C14.003%205J.F7C14.003%20product%20image"
"170","CCART051D","CART051D","Canon","Cartridge 051 Drum","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CCART051D CART051D product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CCART051D%20CART051D%20product%20image"
"170","CCART069HY","CART069HY","Canon","Canon CART069HY High Capacity Yellow Toner for MF756Cx LBP674Cx 5.5K Page Yield","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CCART069HY CART069HY product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CCART069HY%20CART069HY%20product%20image"
"170","CCLI681VP","CLI681VP","Canon","Canon CLI681 Value Pack (1 X CLI681BK/C/M/Y)","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CCLI681VP CLI681VP product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CCLI681VP%20CLI681VP%20product%20image"
"170","CFX12CART","FX12","Canon","Canon 23000 Toner","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CFX12CART FX12 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CFX12CART%20FX12%20product%20image"
"170","CHR-101NA3II","HR-101NA3II","Canon","A3 H/res Paper Matt 20PK","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CHR-101NA3II HR-101NA3II product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CHR-101NA3II%20HR-101NA3II%20product%20image"
"170","CIPF-INS-1724","IPF-INS-CPP-1724","Canon","Canon Installation for 17'' & 24'' Machines","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CIPF-INS-1724 IPF-INS-CPP-1724 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CIPF-INS-1724%20IPF-INS-CPP-1724%20product%20image"
"170","CIPF-INS-4460","IPF-INS-CPP-4460","Canon","Canon Aus Prof Instal for 44'' & 60'' Machines","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CIPF-INS-4460 IPF-INS-CPP-4460 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CIPF-INS-4460%20IPF-INS-CPP-4460%20product%20image"
"170","CIPF-INS-CPP-36","IPF-INS-CPP-36","Canon","Canon Installation Charge for 36"" Models","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CIPF-INS-CPP-36 IPF-INS-CPP-36 product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CIPF-INS-CPP-36%20IPF-INS-CPP-36%20product%20image"
